ticker,date,policy,cost_bps,risk_bps,total_bps
RELIANCE,2020-01-01,twap,17.246965141342624,4.682912116625719,21.929877257968343
RELIANCE,2020-01-02,twap,-119.47307836858914,4.6820051317895555,-114.79107323679959
RELIANCE,2020-01-03,twap,-2.170660240702266,5.149571919930172,2.978911679227906
RELIANCE,2020-01-06,twap,60.593120163102334,3.75519392755767,64.34831409066001
RELIANCE,2020-01-07,twap,-18.866577734206302,4.458337402759126,-14.408240331447177
RELIANCE,2020-01-08,twap,-12.574577175643535,5.113784762942282,-7.460792412701253
RELIANCE,2020-01-09,twap,-13.46182309158345,4.759074301606188,-8.70274878997726
RELIANCE,2020-01-10,twap,19.274882874628673,5.1477003015628195,24.422583176191495
RELIANCE,2020-01-13,twap,-29.914892048456444,4.61693330367686,-25.297958744779585
RELIANCE,2020-01-14,twap,44.69304219749219,4.641949736111778,49.334991933603966
RELIANCE,2020-01-15,twap,69.91032353521622,3.8788142534219645,73.78913778863819
RELIANCE,2020-01-16,twap,-31.939415074051542,3.887314382457082,-28.05210069159446
RELIANCE,2020-01-17,twap,-122.15197943667013,3.637913908787227,-118.5140655278829
RELIANCE,2020-01-20,twap,370.3262840410142,5.033824422446187,375.3601084634604
RELIANCE,2020-01-21,twap,-40.03886988292162,6.023396564634558,-34.01547331828706
RELIANCE,2020-01-22,twap,46.568581309254014,5.427599105399016,51.99618041465303
RELIANCE,2020-01-23,twap,59.44293691149161,5.234115236233023,64.67705214772462
RELIANCE,2020-01-24,twap,12.431615090228064,4.112262283409115,16.54387737363718
RELIANCE,2020-01-27,twap,-2.0530248971395686,4.119462714348446,2.066437817208877
RELIANCE,2020-01-28,twap,134.77062345193684,4.271971907054666,139.04259535899152
RELIANCE,2020-01-29,twap,-19.75240868116297,5.129399267084106,-14.623009414078862
RELIANCE,2020-01-30,twap,180.9522885088133,5.283462092191934,186.23575060100524
RELIANCE,2020-01-31,twap,201.46211083396227,5.781694531657445,207.24380536561972
RELIANCE,2020-02-01,twap,-5.708804771199631,3.460607895195138,-2.248196876004493
RELIANCE,2020-02-03,twap,-74.04263861927942,3.091591094184531,-70.95104752509488
RELIANCE,2020-02-04,twap,-146.0458055769157,3.6287311023626834,-142.41707447455303
RELIANCE,2020-02-05,twap,-44.25749267046288,6.640615085674526,-37.616877584788355
RELIANCE,2020-02-06,twap,27.896216865476298,7.455852012718243,35.352068878194544
RELIANCE,2020-02-07,twap,105.90744285007786,7.71758155152761,113.62502440160547
RELIANCE,2020-02-10,twap,62.937185645543515,7.919380911164681,70.8565665567082
RELIANCE,2020-02-11,twap,-63.78364141078092,7.374116558574118,-56.40952485220681
RELIANCE,2020-02-12,twap,-47.69407988540039,7.463765511370338,-40.23031437403005
RELIANCE,2020-02-13,twap,66.63942653519258,6.405356997742365,73.04478353293494
RELIANCE,2020-02-14,twap,-34.83775014622409,4.883320034551681,-29.95443011167241
RELIANCE,2020-02-17,twap,36.80945591854563,2.595576423137067,39.4050323416827
RELIANCE,2020-02-18,twap,77.95266738855744,2.906009626770782,80.85867701532823
RELIANCE,2020-02-19,twap,-123.57240547081693,1.8922528319595855,-121.68015263885735
RELIANCE,2020-02-20,twap,4.160667034748982,2.734602494849339,6.895269529598321
RELIANCE,2020-02-24,twap,26.682347802174228,3.18848837047779,29.87083617265202
RELIANCE,2020-02-25,twap,138.84327236874475,4.325273513474555,143.1685458822193
RELIANCE,2020-02-26,twap,71.31565398839719,4.876322717096435,76.19197670549362
RELIANCE,2020-02-27,twap,59.282122190379035,5.454245198752465,64.7363673891315
RELIANCE,2020-02-28,twap,98.02419361624924,4.710489539182548,102.73468315543178
RELIANCE,2020-03-02,twap,80.0398420449681,6.895604029382168,86.93544607435027
RELIANCE,2020-03-03,twap,-47.15718688645346,6.045350526007669,-41.11183636044579
RELIANCE,2020-03-04,twap,161.6446179127302,7.844785847104982,169.4894037598352
RELIANCE,2020-03-05,twap,170.87546460959078,8.099181502590364,178.97464611218115
RELIANCE,2020-03-06,twap,-8.87002276053407,5.945052738646153,-2.9249700218879173
RELIANCE,2020-03-09,twap,775.2044999082945,6.493617607606629,781.6981175159011
RELIANCE,2020-03-11,twap,-433.8186553530537,36.821903029064615,-396.9967523239891
RELIANCE,2020-03-12,twap,66.51818897574358,46.26151583461812,112.77970481036171
RELIANCE,2020-03-16,twap,102.2390499810824,53.89280927135861,156.13185925244102
RELIANCE,2020-03-17,twap,89.63409607276441,53.43422592031952,143.06832199308394
